locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAPPHCFD_02222	CDS	1542	ydiF_2	2.8.3.8	COG4670	Acetate CoA-transferase YdiF
CAPPHCFD_02223	CDS	2073				hypothetical protein
CAPPHCFD_02224	CDS	1278	exuT_3		COG2271	Hexuronate transporter
CAPPHCFD_02225	CDS	450	rplI		COG0359	Large ribosomal subunit protein bL9
CAPPHCFD_02226	CDS	228	rpsR		COG0238	Small ribosomal subunit protein bS18
CAPPHCFD_02227	CDS	315	priB		COG2965	Replication restart protein PriB
CAPPHCFD_02228	CDS	396	rpsF		COG0360	Small ribosomal subunit protein bS6
CAPPHCFD_02229	CDS	276				hypothetical protein
CAPPHCFD_02230	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
CAPPHCFD_02231	CDS	855	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
CAPPHCFD_02232	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
CAPPHCFD_02233	CDS	465	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
CAPPHCFD_02234	CDS	306	ulaB	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
CAPPHCFD_02235	CDS	1398	ulaA		COG3037	Ascorbate-specific PTS system EIIC component
CAPPHCFD_02236	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
CAPPHCFD_02237	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
CAPPHCFD_02238	CDS	750				hypothetical protein
CAPPHCFD_02239	CDS	330	bsmA		COG3650	Lipoprotein BsmA
CAPPHCFD_02240	CDS	276				hypothetical protein
CAPPHCFD_02241	CDS	1626	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
CAPPHCFD_02242	CDS	1164	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
CAPPHCFD_02243	CDS	639				hypothetical protein
CAPPHCFD_02244	CDS	399				hypothetical protein
CAPPHCFD_02245	CDS	660				hypothetical protein
CAPPHCFD_02246	CDS	699				hypothetical protein
CAPPHCFD_02247	CDS	402				hypothetical protein
CAPPHCFD_02248	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
CAPPHCFD_02249	CDS	2442	rnr	3.1.13.1	COG0557	Ribonuclease R
CAPPHCFD_02250	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
CAPPHCFD_02251	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
CAPPHCFD_02252	CDS	198				hypothetical protein
CAPPHCFD_02253	CDS	1005	hflC		COG0330	Modulator of FtsH protease HflC
CAPPHCFD_02254	CDS	1260	hflK		COG0330	Modulator of FtsH protease HflK
CAPPHCFD_02255	CDS	1281	hflX		COG2262	GTPase HflX
CAPPHCFD_02256	CDS	726	ftsZ		COG0206	Cell division protein FtsZ
CAPPHCFD_02257	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
CAPPHCFD_02258	CDS	588	secM			Secretion monitor
CAPPHCFD_02259	CDS	2706	secA	7.4.2.8	COG0653	Protein translocase subunit SecA
CAPPHCFD_02260	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
CAPPHCFD_02261	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
CAPPHCFD_02262	CDS	744	zapD		COG4582	Cell division protein ZapD
CAPPHCFD_02263	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
CAPPHCFD_02264	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
CAPPHCFD_02265	CDS	1203	pilC			Type IV pilus assembly protein PilC
CAPPHCFD_02266	CDS	1386	pilB			Type IV pilus assembly ATPase PilB
CAPPHCFD_02267	CDS	441	ppdD		COG4969	Prepilin peptidase-dependent protein D
CAPPHCFD_02268	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
CAPPHCFD_02269	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
CAPPHCFD_02270	CDS	855	ampE		COG3725	Protein AmpE
CAPPHCFD_02271	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
CAPPHCFD_02272	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
CAPPHCFD_02273	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
CAPPHCFD_02274	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
CAPPHCFD_02275	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
CAPPHCFD_02276	CDS	1854				hypothetical protein
CAPPHCFD_02277	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
CAPPHCFD_02278	CDS	363				hypothetical protein
CAPPHCFD_02279	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
CAPPHCFD_02280	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
CAPPHCFD_02281	CDS	309				hypothetical protein
CAPPHCFD_02282	CDS	1551	cueO	1.16.3.4	COG2132	Multicopper oxidase CueO
CAPPHCFD_02283	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
CAPPHCFD_02284	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
CAPPHCFD_02285	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
CAPPHCFD_02286	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
CAPPHCFD_02287	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
CAPPHCFD_02288	CDS	441				hypothetical protein
CAPPHCFD_02289	CDS	1230				hypothetical protein
CAPPHCFD_02290	CDS	381	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
CAPPHCFD_02291	CDS	903				ISNCY family transposase ISSen7
CAPPHCFD_02292	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
CAPPHCFD_02293	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
CAPPHCFD_02294	CDS	1275	yadC		COG3539	putative fimbrial-like protein YadC
CAPPHCFD_02295	CDS	597	yadK		COG3539	putative fimbrial-like protein YadK
CAPPHCFD_02296	CDS	603	yadL		COG3539	putative fimbrial-like protein YadL
CAPPHCFD_02297	CDS	384	yadM		COG3539	putative fimbrial-like protein YadM
CAPPHCFD_02298	CDS	2601	staC			Sta fimbria outer membrane usher protein StaC
CAPPHCFD_02299	CDS	741	yadV		COG3121	putative fimbrial chaperone YadV
CAPPHCFD_02300	CDS	585	yadN		COG3539	putative fimbrial-like protein YadN
CAPPHCFD_02301	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CAPPHCFD_02302	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
CAPPHCFD_02303	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
CAPPHCFD_02304	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
CAPPHCFD_02305	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
CAPPHCFD_02306	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
CAPPHCFD_02307	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
CAPPHCFD_02308	CDS	2526	mrcB		COG0744	Penicillin-binding protein 1B
CAPPHCFD_02309	CDS	2244	fhuA		COG4774	Ferrichrome outer membrane transporter/phage receptor
CAPPHCFD_02310	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
CAPPHCFD_02311	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
CAPPHCFD_02312	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
CAPPHCFD_02313	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
CAPPHCFD_02314	CDS	1422	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
CAPPHCFD_02315	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
CAPPHCFD_02316	CDS	624				hypothetical protein
CAPPHCFD_02317	CDS	801	btuF		COG0614	Vitamin B12-binding protein
CAPPHCFD_02318	CDS	699	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
CAPPHCFD_02319	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
CAPPHCFD_02320	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
CAPPHCFD_02321	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
CAPPHCFD_02322	CDS	387				hypothetical protein
CAPPHCFD_02323	CDS	813	lpxG	3.6.1.-		UDP-2,3-diacylglucosamine pyrophosphatase LpxG
CAPPHCFD_02324	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
CAPPHCFD_02325	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
CAPPHCFD_02326	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
CAPPHCFD_02327	CDS	726	rpsB		COG0052	Small ribosomal subunit protein uS2
CAPPHCFD_02328	CDS	852	tsf		COG0264	Elongation factor Ts
CAPPHCFD_02329	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
CAPPHCFD_02330	CDS	558	frr		COG0233	Ribosome-recycling factor
CAPPHCFD_02331	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
CAPPHCFD_02332	CDS	759	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
CAPPHCFD_02333	CDS	153				hypothetical protein
CAPPHCFD_02334	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
CAPPHCFD_02335	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
CAPPHCFD_02336	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
CAPPHCFD_02337	CDS	486	skp		COG2825	Chaperone protein Skp
CAPPHCFD_02338	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
CAPPHCFD_02339	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
CAPPHCFD_02340	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
CAPPHCFD_02341	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
CAPPHCFD_02342	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
CAPPHCFD_02343	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
CAPPHCFD_02344	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CAPPHCFD_02345	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
CAPPHCFD_02346	CDS	390				hypothetical protein
CAPPHCFD_02347	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
CAPPHCFD_02348	CDS	261	rof		COG4568	Protein rof
CAPPHCFD_02349	CDS	201				hypothetical protein
CAPPHCFD_02350	CDS	546	yaeQ		COG4681	putative protein YaeQ
CAPPHCFD_02351	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
CAPPHCFD_02352	CDS	711	nlpE		COG3015	Lipoprotein NlpE
CAPPHCFD_02353	CDS	825				hypothetical protein
CAPPHCFD_02354	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
CAPPHCFD_02355	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
CAPPHCFD_02356	CDS	405	rcsF			Outer membrane lipoprotein RcsF
CAPPHCFD_02357	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
CAPPHCFD_02358	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
CAPPHCFD_02359	CDS	1032	metN	7.4.2.11	COG1135	Methionine import ATP-binding protein MetN
CAPPHCFD_02360	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
CAPPHCFD_02361	CDS	900	cynR_3		COG0583	HTH-type transcriptional regulator CynR
CAPPHCFD_02362	CDS	660	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
CAPPHCFD_02363	CDS	471	cynS	4.2.1.104	COG1513	Cyanate hydratase
CAPPHCFD_02364	CDS	1182	yycB		COG2807	putative transporter YycB
CAPPHCFD_02365	CDS	621	lacA	2.3.1.18	COG0110	Galactoside O-acetyltransferase
CAPPHCFD_02366	CDS	1254	lacY		COG2223	Lactose permease
CAPPHCFD_02367	CDS	3075	lacZ	3.2.1.23	COG3250	Beta-galactosidase
CAPPHCFD_02368	CDS	1092	lacI		COG1609	Lactose operon repressor
CAPPHCFD_02369	CDS	834				hypothetical protein
CAPPHCFD_02370	CDS	1665	mhpA	1.14.13.127	COG0654	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
CAPPHCFD_02371	CDS	945	mhpB	1.13.11.16	COG3384	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase
CAPPHCFD_02372	CDS	867	mhpC	3.7.1.14	COG0596	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
CAPPHCFD_02373	CDS	810	mhpD	4.2.1.80	COG3971	2-keto-4-pentenoate hydratase
CAPPHCFD_02374	CDS	951	mhpF	1.2.1.10	COG4569	Acetaldehyde dehydrogenase
CAPPHCFD_02375	CDS	1014	mhpE	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase
CAPPHCFD_02376	CDS	1212	mhpT		COG2814	3-(3-hydroxy-phenyl)propionate transporter
CAPPHCFD_02377	CDS	540				hypothetical protein
CAPPHCFD_02378	CDS	834	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
CAPPHCFD_02379	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
CAPPHCFD_02380	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
CAPPHCFD_02381	CDS	774				hypothetical protein
CAPPHCFD_02382	CDS	378			COG1662	IS1 family transposase IS1R
CAPPHCFD_02383	CDS	276			COG1662	IS1 family transposase IS1A
CAPPHCFD_02384	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
CAPPHCFD_02385	CDS	768	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
CAPPHCFD_02386	CDS	828	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
CAPPHCFD_02387	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
CAPPHCFD_02388	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
CAPPHCFD_02389	CDS	2907				hypothetical protein
CAPPHCFD_02390	CDS	624				hypothetical protein
CAPPHCFD_02391	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
CAPPHCFD_02392	CDS	102				hypothetical protein
CAPPHCFD_02393	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
CAPPHCFD_02394	CDS	1095				hypothetical protein
CAPPHCFD_02395	CDS	309	yaiY			Inner membrane protein YaiY
CAPPHCFD_02396	CDS	213				hypothetical protein
CAPPHCFD_02397	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
CAPPHCFD_02398	CDS	261	iraP			Anti-adapter protein IraP
CAPPHCFD_02399	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
CAPPHCFD_02400	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
CAPPHCFD_02401	CDS	1116	dgcC	2.7.7.65	COG3706	putative diguanylate cyclase DgcC
CAPPHCFD_02402	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
CAPPHCFD_02403	CDS	459				hypothetical protein
CAPPHCFD_02404	CDS	525	aroL	2.7.1.71	COG0703	Shikimate kinase 2
CAPPHCFD_02405	CDS	192	yaiA			putative protein YaiA
CAPPHCFD_02406	CDS	678				hypothetical protein
CAPPHCFD_02407	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
CAPPHCFD_02408	CDS	120				hypothetical protein
CAPPHCFD_02409	CDS	378			COG1662	IS1 family transposase IS1R
CAPPHCFD_02410	CDS	276			COG1662	IS1 family transposase IS1A
CAPPHCFD_02411	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
CAPPHCFD_02412	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
CAPPHCFD_02413	CDS	1269	araJ		COG2814	Putative transporter AraJ
CAPPHCFD_02414	CDS	3147	sbcC		COG0419	Nuclease SbcCD subunit C
CAPPHCFD_02415	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
CAPPHCFD_02416	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
CAPPHCFD_02417	CDS	1296	phoR	2.7.13.3	COG5002	Phosphate regulon sensor protein PhoR
CAPPHCFD_02418	CDS	1320	brnQ		COG1114	Branched-chain amino acid permease BrnQ
CAPPHCFD_02419	CDS	1374	proY		COG1113	Proline-specific permease ProY
CAPPHCFD_02420	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
CAPPHCFD_02421	CDS	345	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
CAPPHCFD_02422	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
CAPPHCFD_02423	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
CAPPHCFD_02424	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
CAPPHCFD_02425	CDS	1815	secD		COG0342	Protein translocase subunit SecD
CAPPHCFD_02426	CDS	972	secF		COG0341	Protein translocase subunit SecF
CAPPHCFD_02427	CDS	348				hypothetical protein
CAPPHCFD_02428	CDS	774	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
CAPPHCFD_02429	CDS	540	yajI		COG4238	putative lipoprotein YajI
CAPPHCFD_02430	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
CAPPHCFD_02431	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
CAPPHCFD_02432	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
CAPPHCFD_02433	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
CAPPHCFD_02434	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
CAPPHCFD_02435	CDS	519	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
CAPPHCFD_02436	CDS	975	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
CAPPHCFD_02437	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
CAPPHCFD_02438	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
CAPPHCFD_02439	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
CAPPHCFD_02440	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
CAPPHCFD_02441	CDS	591	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
CAPPHCFD_02442	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
CAPPHCFD_02443	CDS	492	yajQ		COG1666	Nucleotide-binding protein YajQ
CAPPHCFD_02444	CDS	1365	yajR		COG2814	Inner membrane transport protein YajR
CAPPHCFD_02445	CDS	972				hypothetical protein
CAPPHCFD_02446	CDS	543				hypothetical protein
CAPPHCFD_02447	CDS	312				hypothetical protein
CAPPHCFD_02448	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
CAPPHCFD_02449	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
CAPPHCFD_02450	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
CAPPHCFD_02451	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
CAPPHCFD_02452	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
CAPPHCFD_02453	CDS	1476	ampG		COG2223	Anhydromuropeptide permease
CAPPHCFD_02454	CDS	579				hypothetical protein
CAPPHCFD_02455	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
CAPPHCFD_02456	CDS	1299	tig	5.2.1.8		Trigger factor
CAPPHCFD_02457	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
CAPPHCFD_02458	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
CAPPHCFD_02459	CDS	309	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
CAPPHCFD_02460	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
CAPPHCFD_02461	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
CAPPHCFD_02462	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
CAPPHCFD_02463	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
CAPPHCFD_02464	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
CAPPHCFD_02465	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
CAPPHCFD_02466	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
CAPPHCFD_02467	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
CAPPHCFD_02468	CDS	606	ubiJ		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
CAPPHCFD_02469	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
CAPPHCFD_02470	CDS	1428				hypothetical protein
CAPPHCFD_02471	CDS	768	xynR		COG1414	HTH-type transcriptional regulator XynR
CAPPHCFD_02472	CDS	1005	dgoK_2	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
CAPPHCFD_02473	CDS	630	dgoA_2	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
CAPPHCFD_02474	CDS	975				hypothetical protein
CAPPHCFD_02475	CDS	507				hypothetical protein
CAPPHCFD_02476	CDS	1491				hypothetical protein
CAPPHCFD_02477	CDS	765	udp	2.4.2.3	COG2820	Uridine phosphorylase
CAPPHCFD_02478	CDS	810	clcD	3.1.1.45	COG0412	Carboxymethylenebutenolidase
CAPPHCFD_02479	CDS	96				hypothetical protein
CAPPHCFD_02480	CDS	669	trtA	3.5.1.-		Triuret hydrolase TrtA
CAPPHCFD_02481	CDS	861				hypothetical protein
CAPPHCFD_02482	CDS	1560	allF_1	2.1.3.5	COG0074	Oxamate carbamoyltransferase subunit AllF
CAPPHCFD_02483	CDS	1476	allG_1	2.1.3.5	COG0074	Oxamate carbamoyltransferase subunit AllG
CAPPHCFD_02484	CDS	957	arcC1_2	2.7.2.2	COG0549	Carbamate kinase 1
CAPPHCFD_02485	CDS	390	atzF	3.5.1.54		Allophanate hydrolase
CAPPHCFD_02486	CDS	1224	codB_1		COG1457	Cytosine permease
CAPPHCFD_02487	CDS	897	punR_2		COG0583	HTH-type transcriptional regulator PunR
CAPPHCFD_02488	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
CAPPHCFD_02489	CDS	954	metR		COG0583	HTH-type transcriptional regulator MetR
CAPPHCFD_02490	CDS	900	bioP		COG0697	Biotin transporter
CAPPHCFD_02491	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
CAPPHCFD_02492	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
CAPPHCFD_02493	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
CAPPHCFD_02494	CDS	621	rhtC_1		COG1280	Threonine efflux protein
CAPPHCFD_02495	CDS	1836	recQ	5.6.2.4	COG0514	ATP-dependent DNA helicase RecQ
CAPPHCFD_02496	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
CAPPHCFD_02497	CDS	468	yigI	3.1.2.20	COG2050	Medium/long-chain acyl-CoA thioesterase YigI
CAPPHCFD_02498	CDS	891	rarD		COG2962	Protein RarD
CAPPHCFD_02499	CDS	381				hypothetical protein
CAPPHCFD_02500	CDS	849				hypothetical protein
CAPPHCFD_02501	CDS	492				hypothetical protein
CAPPHCFD_02502	CDS	951	corA		COG0598	Magnesium transport protein CorA
CAPPHCFD_02503	CDS	765				hypothetical protein
CAPPHCFD_02504	CDS	903	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
CAPPHCFD_02505	CDS	2163	uvrD	5.6.2.4	COG0210	DNA helicase II
CAPPHCFD_02506	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
CAPPHCFD_02507	CDS	897	xerC_1		COG4973	Tyrosine recombinase XerC
CAPPHCFD_02508	CDS	708				hypothetical protein
CAPPHCFD_02509	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
CAPPHCFD_02510	CDS	204	lptM		COG5567	LPS-assembly lipoprotein LptM
CAPPHCFD_02511	CDS	234				hypothetical protein
CAPPHCFD_02512	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
CAPPHCFD_02513	CDS	2547	cyaA			adenylate cyclase CyaA
CAPPHCFD_02514	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
CAPPHCFD_02515	CDS	741	hemD	4.2.1.75		Uroporphyrinogen-III synthase
CAPPHCFD_02516	CDS	1206	hemX		COG2959	Protein HemX
CAPPHCFD_02517	CDS	1197	hemY		COG3071	Protein HemY
CAPPHCFD_02518	CDS	1656		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
CAPPHCFD_02519	CDS	1236	chuR_1	1.1.98.7	COG0641	Serine-type anaerobic sulfatase-maturating enzyme
CAPPHCFD_02520	tRNA	77				tRNA-Pro(tgg)
CAPPHCFD_02521	tRNA	87				tRNA-Leu(cag)
CAPPHCFD_02522	tRNA	76				tRNA-His(gtg)
CAPPHCFD_02523	tRNA	77				tRNA-Arg(ccg)
CAPPHCFD_02524	CDS	1386	thrP		COG1113	Threonine/serine transporter ThrP
CAPPHCFD_02525	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
CAPPHCFD_02526	CDS	1353	wzyE			putative ECA polymerase
